Time_s   F0_st__200_
16.297964   --undefined--
16.300307   --undefined--
16.302651   --undefined--
16.304995   --undefined--
16.307339   --undefined--
16.309682   --undefined--
16.312026   --undefined--
16.314370   --undefined--
16.316714   --undefined--
16.319057   --undefined--
16.321401   --undefined--
16.323745   --undefined--
16.326089   --undefined--
16.328432   --undefined--
16.330776   --undefined--
16.333120   --undefined--
16.335464   --undefined--
16.337807   --undefined--
16.340151   --undefined--
16.342495   --undefined--
16.344839   --undefined--
16.347182   --undefined--
16.349526   --undefined--
16.351870   --undefined--
16.354214   --undefined--
16.356557   --undefined--
16.358901   --undefined--
16.361245   --undefined--
16.363589   --undefined--
16.365932   --undefined--
16.368276   27.479936
16.370620   27.297483
16.372964   --undefined--
16.375307   --undefined--
16.377651   --undefined--
16.379995   --undefined--
16.382339   --undefined--
16.384682   --undefined--
16.387026   15.081249
16.389370   14.709471
16.391714   14.587188
16.394057   14.643639
16.396401   15.538137
16.398745   --undefined--
16.401089   --undefined--
16.403432   --undefined--
16.405776   --undefined--
16.408120   --undefined--
16.410464   --undefined--
16.412807   --undefined--
16.415151   --undefined--
16.417495   --undefined--
16.419839   15.490041
16.422182   15.613074
16.424526   15.153454
16.426870   16.581145
16.429214   16.545098
16.431557   16.354748
16.433901   --undefined--
16.436245   --undefined--
16.438589   --undefined--
16.440932   --undefined--
16.443276   --undefined--
16.445620   --undefined--
16.447964   --undefined--
16.450307   --undefined--
16.452651   --undefined--
16.454995   --undefined--
16.457339   --undefined--
16.459682   --undefined--
16.462026   --undefined--
16.464370   --undefined--
